::1 - - [20/Jun/2022:07:56:32 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 200 187 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:25 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:26 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:44 +0000] "GET /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:53 +0000] "PUT /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 200 206 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:53 +0000] "GET /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 200 206 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::1 - - [20/Jun/2022:08:09:55 +0000] "GET /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
::ffff:127.0.0.1 - - [20/Jun/2022:08:09:58 +0000] "GET /api/v1/users/62442cbfc506a9eeac7ee9a8 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.2 Darwin/21.6.0"
